Fid,Drug_Name1,Reason1,Drug_Name2,Reason2,Rating,Reviews,Drugfollowers,Label
209.10.120.26-10.42.0.211-80-56730-6,Acnecure Gel 20gm,Acne,Ismorin Tablet 10'SIsmo 10mg Tablet 30'SIsmo 10mg Tablet 15'SIsmo 20mg Tablet 15'SIsmo 20mg Tablet 30'S,Angina,10,60,32,0
10.42.0.211-67.129.144.48-52713-80-6,Acnedap Gel 15gm,Acne,Ismo Retard 40mg Tablet 7'S,Angina,5,26,29,0
182.22.25.252-10.42.0.211-443-38342-6,Acnedap Plus Gel 15gm,Acne,Ismorin 60/75mg Capsule 10'S,Angina,1,15,29,1
10.42.0.151-10.42.0.1-17967-53-17,Acnehit Gel 15gm,Acne,Isobax 60mg Tablet 30'SIsobax 30mg Tablet 10'SIsobax 60mg Tablet 10'SIsobax OD 30mg Tablet 30'S,Angina,8,9,31,1
10.42.0.211-10.42.0.1-54385-53-17,Acnelak Soap 75gm,Acne,Isocor 20mg Tablet 10'S,Angina,4,8,29,1
172.217.12.202-10.42.0.42-443-40749-6,Acnelak Clz Cream 15gm,Acne,ISOLAZINE Tablet 15'sIsolazine Tablet 10'S,Angina,4,6,35,1
172.217.10.42-10.42.0.151-443-43737-6,Acnelak Z Lotion 15gm,Acne,Isonit 5mg Tablet 10'S,Angina,8,2,29,1
10.42.0.42-104.193.88.109-45262-80-6,Acnemoist Cream 60gm,Acne,Isonorm 20mg Tablet 10'SIsonorm 30mg Tablet 10'SIsonorm SR 60mg Tablet 10'SIsonorm 10mg Tablet 10'S,Angina,10,4,839,0
10.42.0.211-10.42.0.1-11474-53-17,Acnerex Soap 75gm,Acne,Isonorm SR 30mg Tablet 10'S,Angina,8,24,29,1
10.42.0.211-52.84.142.16-35059-443-6,Acneril 1% Gel 10gmAcneril Tablet 10Acneril 0.10% Cream 20gm,Acne,Isopreg 10mg Injection 2ml,Angina,10,7,29,0
172.217.10.74-10.42.0.151-443-37734-6,Acnesol 1% Solution 25mlAcnesol Gel 20gmAcnesol Solution 45ml,Acne,Isopreg SR Tablet 10'S,Angina,9,0,31,0
209.10.120.26-10.42.0.211-80-34689-6,Acnesol A Nano Gel 15gm,Acne,Isordil 10mg Tablet 10'SIsordil 5mg Tablet 10'S,Angina,5,33,29,0
216.58.219.227-10.42.0.42-443-44798-17,Acnesol CL Gel 15gm,Acne,Isorus 20/37.5mg Tablet 10'S,Angina,10,11,42,1
10.42.0.211-110.53.246.32-40296-80-6,Acnestal Soap 75gm,Acne,Isowok 40mg Tablet 30'S,Angina,1,15,29,0
172.217.10.74-10.42.0.151-443-49657-6,Acnestar 10mg Capsule 10'SAcnestar 2.5% Soap 75gmAcnestar S Soap 75gmAcnestar 20mg Capsule 10'S,Acne,Isowok SR Tablet 10'S,Angina,10,101,299,1
10.42.0.211-10.42.0.1-58838-53-17,Acnetoin 20mg Capsule 10'SAcnetoin Gel 15gm,Acne,Ivabeat 7.5mg Tablet 10'SIvabeat 5mg Tablet 10'S,Angina,8,17,29,0
209.85.144.188-10.42.0.151-5228-54256-6,Acnetoin Plus Oinment 15gm,Acne,Ivabid 7.5mg Tablet 10'SIvabid 5mg Tablet 10'SIvabid 5mg Tablet 14'S,Angina,10,7,29,1
10.42.0.151-23.192.21.115-37392-443-6,Acnetor AD 1% Ointment 15gm,Acne,Ivables 7.5mg Tablet 10'SIvables 5mg Tablet 15'S,Angina,1,8,788,0
172.217.10.78-10.42.0.151-443-40821-6,Acnetor AD Cream 15Acnetor AD Gel 15gm,Acne,Ivabrad 5mg Tablet 10'SIvabrad 7.5mg Tablet 15'SIvabrad 5mg Tablet 15'S,Angina,9,38,1368,1
10.42.0.211-114.134.80.163-60299-80-6,Acnewar Gel 15gm,Acne,Ivabratco 5mg Tablet 10'S,Angina,1,4,379,1
172.217.10.238-10.42.0.211-80-43477-6,Acnewar Plus Gel 15gm,Acne,Ivamac 5mg Tablet 10'S,Angina,2,33,1213,0
10.42.0.211-10.42.0.1-13911-53-17,Acnex 10mg Capsule 10'SAcnex 20mg Capsule 10'SAcnex Bar 75gm,Acne,Ivanode 7.5mg Tablet 10'SIvanode 5mg Tablet 10'S,Angina,1,26,2292,1
172.217.10.46-10.42.0.151-443-36662-6,Acnezyl Gel(Topical) 10gm,Acne,Ivapace 5mg Tablet 10'S,Angina,10,35,29,0
10.42.0.211-23.217.155.120-55426-80-6,Acnicin Gel 15gmAcnicin 1/1% Solution 25ml,Acne,Ivazine 7.5mg Tablet 10'SIvazine 5mg Tablet 10'S,Angina,10,22,559,0
10.42.0.211-10.42.0.1-14518-53-17,Acnil Soap 75gm,Acne,Iverzac 5mg Tablet 10'S,Angina,10,1,35,1
209.10.120.26-10.42.0.211-80-32866-6,Acnin Cream 50gm,Acne,K Ion 10mg Tablet 10'S,Angina,5,1,34,1
10.42.0.42-93.184.215.201-49701-443-6,Acnin Pimple Care Face Pack 50gm,Acne,KADRIN SR 60mg Tablet 10's,Angina,9,6,29,0
10.42.0.151-10.42.0.1-22556-53-17,Acno 0.05% Gel 15gmAcno 20mg Capsule 10'S,Acne,Kaizem CD 120mg Capsule 7'SKaizem CD 90mg Capsule 7'S,Angina,9,1,29,1
10.42.0.42-23.194.140.226-54697-80-6,Acnoff Anti Acne Bar 100gm,Acne,Kcor 10mg Tablet 20'SKcor 5mg Tablet 20'S,Angina,6,30,29,0
10.42.0.211-106.11.30.199-45349-80-6,Acnorm Lotion 180ml,Acne,Korandil 10mg Tablet 10'SKorandil 48mg Injection 1Korandil 5mg Tablet 10'SKorandil OD 20mg Tablet 10,Angina,8,7,517,1
151.101.21.140-10.42.0.211-443-57062-6,Acnovate Gel 15gm,Acne,Korandil OD 10mg Tablet 10'S,Angina,1,58,29,0
10.42.0.151-10.42.0.1-63353-53-17,Acnovate Trio Gel 15gm,Acne,Lasix HD 500mg Tablet 10'S,Angina,10,2,29,1
10.42.0.151-103.7.30.118-43697-80-6,Acutret 10mg Capsule 10'SAcutret 30mg Capsule 10'SAcutret 20mg Capsule 10'SAcutret 5mg Capsule 10'S,Acne,LEONITE 2.6mg Tablet 10'sLEONITE 6.4mg Tablet 10's,Angina,1,7,773,0
10.42.0.151-52.86.21.31-48202-443-6,Aczit 10mg Softgel 10'S,Acne,LHD 10mg Tablet 10'S,Angina,1,40,29,0
172.217.10.10-10.42.0.151-443-40017-6,Adabor Gel 15gm,Acne,Lintam At Tablet 10's,Angina,9,10,1124,0
239.255.255.250-10.42.0.1-1900-60663-17,Adacin Gel 15gm,Acne,Mela 2.5mg Tablet 10'S,Angina,10,5,4291,0
10.42.0.151-66.198.178.88-39008-443-6,Adaclene Gel 15gm,Acne,Metagard 60mg Tablet 10'SMetagard CR 35mg Tablet 10'SMetagard Tablet 10'S,Angina,9,38,29,0
10.42.0.211-10.42.0.1-6007-53-17,Adaferin Gel 15gm,Acne,Metagard CR 60mg Tablet 10'S,Angina,10,30,29,1
172.217.12.131-10.42.0.211-443-32906-6,Adalene Nano Gel 15mg,Acne,Meto AM 50mg Tablet 10'S,Angina,10,22,496,1
10.42.0.211-31.13.80.12-44024-443-6,Adapen Gel 15gm,Acne,Metozide 5mg Tablet 10'S,Angina,9,7,133,0
172.217.6.206-10.42.0.151-443-35801-6,Adaple Gel 15gmAdaple C Gel 15gm,Acne,Milicor 10mg Injection 10ml,Angina,8,1,29,0
151.101.192.207-10.42.0.211-443-48838-6,Adapnil Gel 15gm,Acne,Monicor 20mg Tablet 10'S,Angina,9,11,884,0
208.80.154.224-10.42.0.211-443-53566-6,Adiff Aqueous Gel 15gm,Acne,Monit 20mg Tablet 10'SMonit 20mg Tablet 15'SMONIT GTN 6.4MG TABLET 25'SMonit SR 30mg Tablet 10'SMonit 10mg Tablet 15'SMonit SR 30mg Tablet 15'SMonit 10mg Tablet 10'S,Angina,4,8,55,1
10.42.0.211-98.139.199.205-48160-443-6,Adistar Gel 15gm,Acne,Monit AS 60/75mg Capsule 10'SMonit AS 30/75mg Capsule 10'S,Angina,1,5,31,1
10.42.0.211-10.42.0.1-59555-53-17,Adistarc Gel 10gm,Acne,Monit AS G 30/150mg Capsule 10'SMonit AS G 60/150mg Capsule 10'S,Angina,10,90,29,1
216.58.219.202-10.42.0.211-443-47567-6,Adit 0.05% Cream 20gmAdit 0.025% Cream 20gm,Acne,Monit AS SR 30/75mg Capsule 10'S,Angina,1,1,965,1
10.42.0.151-23.6.162.190-59733-443-6,Adlene Gel 15gm,Acne,Monit Gtn 6.4mg Tablet 30'SMonit Gtn 2.6Mg Tablet 60'sMonit Gtn 2.6mg Tablet 30'S,Angina,8,35,677,1
172.217.12.174-10.42.0.151-443-54508-6,Admark Gel 15gm,Acne,Monit OD Tablet 10'S,Angina,8,5,517,0
10.42.0.211-10.42.0.1-25838-53-17,Ahaglow Acne Control Moisturizing Gel 50gm,Acne,Monit SR 60mg Tablet 10'S,Angina,8,58,8229,1
10.42.0.211-23.45.196.130-59845-443-6,Airet 0.50% Cream 15gmAiret 0.10% Cream 15gm,Acne,Mono 30mg Tablet 10'S,Angina,10,0,29,0
172.217.9.227-10.42.0.211-443-35228-6,Airol Cream 20gmAirol 0.03% Cream 20gmAirol 0.05% Cream 20gm,Acne,Mono Isordil 20mg Tablet 10'S,Angina,9,35,29,0
174.35.73.111-10.42.0.151-80-38230-6,Aknaybar Bathing Bar 100gm,Acne,Mono Isordil SR 60mg Capsule 10'S,Angina,10,2,33,0
172.217.12.200-10.42.0.211-443-48040-6,Akneroxid 10% Gel 20gm,Acne,Monobid 20mg Tablet 10'S,Angina,10,1,43,1
203.205.158.62-10.42.0.151-80-53898-6,ALAN Gel 15gm,Acne,Monocontin 25mg Tablet 7'SMonocontin 50mg Tablet 7'SMonocontin 25mg Tablet 10'S,Angina,8,25,29,0
172.217.12.170-10.42.0.151-443-49704-6,Alene Gel 15gm,Acne,Monosorbex 20mg Tablet 20'S,Angina,10,21,29,1
10.42.0.211-120.76.223.181-58370-83-6,Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm,Acne,Monosorbitrate 10mg Tablet 10'SMONOSORBITRATE 20mg Tablet 10's,Angina,9,15,29,0
10.42.0.211-103.235.46.39-40645-80-6,Alight Gel 15gm,Acne,MONOSORBITRATE OD 30MG TABLET 10'S,Angina,9,5,36,1
172.217.12.163-10.42.0.151-443-60319-6,Alight Plus Gel 15gm,Acne,Monosprin 60mg Capsule 10'SMonosprin 30mg Capsule 10'S,Angina,8,22,43,0
10.42.0.151-10.42.0.1-21180-53-17,Alite Cream 15gmAlite Soap 75gm,Acne,Monosprin DS 30/150mg Tablet 10'SMonosprin DS 60/150mg Tablet 10'S,Angina,10,3,29,1
10.42.0.1-10.42.0.42-53-34399-17,Alite Plus Gel 15gm,Acne,Monotrate OD 50mg Tablet 10'SMonotrate 20mg Tablet 10'SMonotrate 40mg Tablet 10'SMonotrate SR 60mg Tablet 10'SMonotrate 10mg Tablet 10'SMonotrate SR 30mg Tablet 10'S,Angina,9,0,429,1
172.217.12.170-10.42.0.151-443-42201-6,Allyte 1% Gel 20gm,Acne,Monotrate OD 25mg Tablet 10'S,Angina,9,2,145,0
10.42.0.211-123.125.115.190-39120-80-6,Alonurish Anti Acne Foaming Face Wash 60ml,Acne,Monotus 20mg Tablet 10'SMonotus 10mg Tablet 10'S,Angina,10,108,342,1
10.42.0.151-52.84.40.77-59545-443-6,Amypure Tablet 90'SAmypure Tablet 100'S,Acne,Muzika Tablet 10'S,Angina,5,52,29,0
175.100.207.232-10.42.0.151-80-40406-6,AP Gel 10gm,Acne,Myodura 5mg Tablet 14'S,Angina,8,0,29,0
10.42.0.211-10.42.0.1-64218-53-17,Apalene C Gel 15gm,Acne,Myonerg 20mg Tablet 20'S,Angina,3,4,29,1
10.42.0.211-117.121.27.10-41999-80-6,Athoderm 1% Gel 15gm,Acne,Myonit SR 2.6mg Tablet 10'SMyonit SR 2.6mg Tablet 30'SMyonit Insta Tablet 30'SMyonit Injection 5mlMyonit 0.5mg Tablet 30'SMyonit Injection 10ml,Angina,9,6,36,0
220.243.235.201-10.42.0.211-80-54553-6,Atranza 10mg Capsule 100'S,Acne,Myonit SR 6.4mg Tablet 30'S,Angina,10,7,31,1
10.42.0.211-10.42.0.1-18278-53-17,Atret 0.5% Cream 30gmATRET 0.025% Cream 30gm,Acne,Natriem 60mg Tablet 10'SNatriem 30mg Tablet 10'S,Angina,10,10,993,0
10.42.0.211-23.66.246.24-45727-443-6,Azac Cream 15gmAzac Soap 75gm,Acne,Nestin CR 6.4mg Tablet 30'S,Angina,1,9,43,1
216.58.219.202-10.42.0.151-443-40610-6,Azecne 20% Cream 15gmAzecne 10% Cream 15gm,Acne,Nicardia Retard 10mg Tablet 10'SNicardia Retard 20mg Tablet 10'S,Angina,4,38,193,0
174.35.73.107-10.42.0.211-80-50073-6,Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm,Acne,Nicardia Retard HS 10mg Tablet 10'S,Angina,3,174,98,1
172.217.10.234-10.42.0.211-443-40382-6,Azobril 15% Cream 20gm,Acne,Nicardia Retard SR 30mg Tablet 10'S,Angina,9,143,257,1
172.217.6.206-10.42.0.151-443-53203-6,Baclytic Gel 15gm,Acne,Nicoday 10mg Tablet 20'S,Angina,1,1,31,0
10.42.0.211-64.71.142.96-56643-443-6,Bdiff A Gel 15gm,Acne,Nicoduce OD 10mg Tablet 10'SNicoduce 5mg Tablet 20'SNicoduce 10mg Tablet 20'SNicoduce 48mg Injection 1'S,Angina,9,9,763,1
10.42.0.211-106.11.94.27-58060-443-6,Bende Gel(Topical) 20gmBende Gel(Topical) 30gm,Acne,Nicoduce OD 20mg Tablet 10'S,Angina,10,5,31,0
10.42.0.211-95.213.11.133-35731-80-6,Bengel 5% Gel 30gmBengel AC 5% Gel 30gmBengel 2.5% Gel 30gm,Acne,Nicopress 10mg Tablet 10'SNicopress 5mg Tablet 10'S,Angina,5,28,29,0
10.42.0.211-77.234.42.92-43011-443-6,Bengel AC 2.5% Gel 30gm,Acne,NICOREX 20mg Tablet 10's,Angina,10,2,31,1
10.42.0.211-103.235.46.211-48256-443-6,Bengel Acra 2.5% Gel 30gm,Acne,Nicostar 10mg Tablet 20'SNicostar 5mg Tablet 20'SNicostar 2mg Injection 1mlNicostar OD 10mg Tablet 10'SNicostar 48mg Injection 1'S,Angina,7,26,29,1
206.126.112.142-10.42.0.151-443-49855-6,Benzac AC 2.5% Gel 20gm,Acne,Nifedine 10mg Tablet 10'S,Angina,10,21,55,0
192.229.173.173-10.42.0.211-80-42365-6,Benzac AC 5% Gel 20gm,Acne,Nifelat 5mg Capsule 10'SNifelat 10mg Capsule 10'S,Angina,10,8,1368,1
10.42.0.151-10.42.0.1-32688-53-17,Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm,Acne,NIG 5mg Injection 5ml,Angina,7,20,43,0
172.217.10.42-10.42.0.211-443-36781-6,Benzonext 5% Gel 20gmBenzonext Gel 20gm,Acne,Niglin CR 6.4mg Tablet 25'SNiglin CR 2.6mg Tablet 25'S,Angina,10,17,61,1
10.42.0.211-123.125.29.220-52786-80-6,Benzonix 1.25% Soap 75gmBenzonix 2.5% Soap 75gmBenzonix Gel 20gm,Acne,Nikoran OD 20mg Tablet 10'SNikoran OD 10mg Tablet 10'SNikoran 2mg InjectionNikoran 5mg Tablet 20'SNikoran 10mg Tablet 20'SNikoran 48mg Injection,Angina,10,16,329,0
10.42.0.42-104.97.95.172-59458-80-6,Benzox AC 5% Gel 20gm,Acne,Nikos 10mg Tablet 30'SNikos 5mg Tablet 30'S,Angina,1,3,29,1
172.217.12.206-10.42.0.211-443-59283-6,Blokage Gel 15gm,Acne,Nitract SR 2.5mg Capsule 25'SNitract SR 6.5mg Capsule 25'S,Angina,10,15,461,0
182.22.25.252-10.42.0.211-443-57334-6,Botanica 3D Serum 30ml,Acne,Nitrocin 25mg Spray 5mlNitrocin 25mg Injection 5mlNitrocin 25mg Spray 15mlNitrocin 50mg Injection 10ml,Angina,8,18,29,0
10.42.0.211-10.42.0.1-58332-53-17,Brevoxyl Cream 20gm,Acne,Nitrocin Lingual 0.4mg Spray 15ml,Angina,9,25,429,0
10.42.0.42-54.239.17.112-52579-443-6,Brevoxyl Creamy Wash Lotion 50gm,Acne,Nitrocontin 6.4mg Tablet 25'SNitrocontin 6.4mg Tablet 30'SNitrocontin 2.6mg Tablet 25'SNitrocontin 2.6mg Tablet 30'S,Angina,3,15,143,0
10.42.0.151-23.217.30.116-40817-443-6,Brite Opti Cream 10gm,Acne,Nitrocure 25mg Injection 5ml,Angina,5,16,31,0
172.217.10.42-10.42.0.42-443-57190-6,Calosoft Plus Cream 30gm,Acne,Nitroderm Tts 5mg Patch,Angina,9,14,32,1
180.149.134.221-10.42.0.211-80-36134-6,Camyda 300mg Capsule 10'SCamyda 1% Gel 10gm,Acne,Nitroderm Tts 10mg PatchNITRODERM TTS 25mg Patch 1's,Angina,10,25,29,1
10.42.0.211-104.193.88.109-42050-80-6,Canvaz Gel(Topical) 15gm,Acne,Nitrofirst 60mg Tablet 10'SNitrofirst 10mg Tablet 10'S,Angina,9,59,29,0
10.42.0.42-103.235.46.211-32975-443-6,Cdiff A Gel 15gm,Acne,Nitrofix 10mg Tablet 10'SNitrofix 40mg Tablet 10'SNitrofix SR 60mg Tablet 10'SNitrofix 20mg Tablet 10'SNitrofix 30mg Tablet 10'S,Angina,8,12,29,0
10.42.0.151-13.32.250.46-49117-443-6,Cinason N Gel 20gm,Acne,Nitrofix AS 30/150mg Capsule 10'S,Angina,1,88,29,0
172.217.3.110-10.42.0.151-443-45707-6,Cleargel Gel 20gm,Acne,Nitrofix SR 30mg Tablet 10'S,Angina,2,5,31,1
220.243.225.102-10.42.0.151-80-49861-6,Cleargel AP Gel 15gm,Acne,Nitrogard 2.6mg Tablet 30'S,Angina,9,12,29,1
10.42.0.211-123.125.29.138-52978-80-6,Clearliv Capsule 60'S,Acne,Nitrogesic M Ointment 30gmNitrogesic 0.20% Ointment 30gm,Angina,1,29,872,1
10.42.0.211-98.139.199.205-47985-443-6,CLENCHIN Gel(Topical) 20gm,Acne,Nitroglyn 25mg Injection 5ml,Angina,1,5,29,1
162.208.22.39-10.42.0.42-443-57828-6,CLENCHIN Z Cream 10gm,Acne,Nitroglyder 2.6mg Tablet 30'S,Angina,10,27,29,1
10.42.0.211-10.42.0.1-60699-53-17,Cliac Gel 15gm,Acne,NITROGLYN 50mg Injection 10ml,Angina,5,7,29,0
180.149.136.194-10.42.0.151-80-34442-6,Click Gel 20gm,Acne,Nitroject 25mg Injection 5mlNitroject 50mg Injection 10ml,Angina,10,20,172,1
10.42.0.151-119.146.74.32-55465-443-6,Clid 1% Gel 20gmClid Gel 30gm,Acne,Nitrolife CR 6.4mg Tablet 25'S,Angina,5,11,251,0
209.10.120.26-10.42.0.211-80-38896-6,Cliface Gel 20gm,Acne,Nitrolis 2.6Mg Tablet 25's,Angina,10,76,29,0
192.33.31.104-10.42.0.211-443-41864-6,Cliface A Gel 15gm,Acne,Nitrolong 2.6mg Tablet 25'SNitrolong 2.6mg Tablet 30'SNitrolong 6.4mg Tablet 30'SNitrolong 6.4mg Tablet 25'S,Angina,2,5,234,0
183.3.235.80-10.42.0.211-80-45848-6,Cligel N Gel 20gmCligel Gel 15gm,Acne,Nitroplus Injection 5mlNitroplus 50mg Injection 10ml,Angina,7,67,29,1
131.253.61.66-10.42.0.151-443-50652-6,Cligel A Gel 15gm,Acne,Nitrospan 2.6mg Tablet 30'SNitrospan 2.6mg Tablet 25'SNitrospan 6.4mg Tablet 30'S,Angina,10,10,29,0
172.217.12.206-10.42.0.151-443-47985-6,Cligel T Gel 15gm,Acne,NITROTAP Capsule 10'sNitrotap Capsule 15'S,Angina,1,42,35,1
174.35.73.168-10.42.0.42-80-51823-6,Climple 1% Gel 15gm,Acne,Nitrowok CR 2.6mg Tablet 30'SNitrowok CR 6.4mg Tablet 14'S,Angina,8,31,29,0
172.217.7.163-10.42.0.151-80-60965-6,Climple A Cream 15gm,Acne,Nitrt Tts5 5mg Patch 10'S,Angina,9,35,27,1
10.42.0.151-10.42.0.1-61659-53-17,Clin 1% Gel 10gmClin Tablet 10's,Acne,Nitrus 2.6mg Tablet 30'S,Angina,8,0,29,0
10.42.0.42-119.146.74.48-55133-80-6,Clin 3 Gel 15gm,Acne,Nitrus CR 2.6mg Tablet 30'S,Angina,1,41,29,1
239.255.255.250-10.42.0.1-1900-41033-17,Clin AD Gel 15gm,Acne,NITZO 2.6mg Tablet 50'sNITZO 6.4mg Tablet 50's,Angina,1,30,29,1
10.42.0.151-10.42.0.1-62157-53-17,Clinadd Gel 15gm,Acne,Norad Injection 2ml,Angina,9,38,29,0
172.217.10.42-10.42.0.151-443-41089-6,Clinapil 1% Gel 10gm,Acne,Noradria 2mg Injection 2ml,Angina,1,16,533,1
172.217.10.227-10.42.0.151-443-55945-6,Clincent 1% Gel 20gm,Acne,Nubimax 250mg Injection 1'S,Angina,10,40,27,0
10.42.0.211-104.193.88.109-52204-80-6,Clincent A Gel 15gm,Acne,Nucoril 10mg Tablet 10'SNucoril 5mg Tablet 30'SNucoril OD Tablet 20'S,Angina,8,22,29,0
10.42.0.211-52.44.158.240-40209-443-6,Clincin Gel 20gmCLINCIN Gel 10gm,Acne,Nyfe 2.6Mg Tablet 25'sNyfe 6.4Mg Tablet 25's,Angina,10,64,37,1
10.42.0.211-59.38.112.48-33279-443-6,Clincin N GE Gel 20gm,Acne,Odipril 5mg Capsule 15'S,Angina,10,5,29,1
209.10.120.26-10.42.0.211-80-44353-6,Clincitop Gel 20gmClincitop Gel(Topical) 15gm,Acne,OLSONG CT 20mg Tablet 10'sOLSONG CT 40mg Tablet 10's,Angina,2,32,1368,0
183.79.248.252-10.42.0.42-443-53876-6,Clinda 1% Gel 10gm,Acne,OLSONG TRIO Tablet 10's,Angina,10,91,32,1
182.22.31.124-10.42.0.211-443-45394-6,Clindac A Foaming Facewash 50ml,Acne,Planep T 20mg Kit 10+10'S,Angina,10,2,619,0
10.42.0.211-31.13.65.36-49760-443-6,Clindac A Solution 25mlCLINDAC A 1% Gel 20gmClindac A Gel 15gm,Acne,Plegiocard Injection 20ml,Angina,6,13,429,1
10.42.0.211-10.42.0.1-25087-53-17,Clindakem A Gel 20gm,Acne,Plendil 2.5mg Tablet 10'S,Angina,8,11,522,0
10.42.0.211-103.7.30.118-35220-80-6,Clindap Gel 20gm,Acne,Prasusafe 10mg Tablet 10'S,Angina,2,96,429,1
10.42.0.151-74.125.22.139-35773-443-6,Clindapene Gel 15gm,Acne,Primacor 10mg Injection 2ml,Angina,9,0,35,0
10.42.0.211-111.221.77.171-60774-443-17,Clindasure 300mg Capsule 10'SClindasure 150mg Capsule 10'S,Acne,Prodium 20mg Tablet 10'S,Angina,1,12,29,0
10.42.0.151-31.13.69.195-35187-443-6,Clindoxyl Gel 15gmClindoxyl Gel 10gm,Acne,RAN CV 500mg Tablet 10'SRAN CV 1gm Tablet 10'S,Angina,10,7,29,0
10.42.0.211-111.1.17.152-49409-8077-6,Clinet Gel 20gm,Acne,Rancad 500mg Tablet 10'SRancad 1000mg Tablet 10'SRancad OD Tablet 10'S,Angina,10,16,2294,0
172.217.7.164-10.42.0.42-443-55450-6,Clingard Gel 15gm,Acne,Randear ER 1000mg Tablet 10'S,Angina,8,19,29,0
10.42.0.1-10.42.0.42-53-42468-17,Clinka Gel 20gm,Acne,Rangil XL 500mg Tablet 10'S,Angina,10,28,29,1
10.42.0.211-10.42.0.1-6825-53-17,Clinka N Gel 10gm,Acne,Ranogard 500mg Tablet 10'S,Angina,8,7,584,1
10.42.0.151-54.239.17.112-40961-443-6,CLINKRICK Gel 10gm,Acne,Ranolaz 500mg Tablet 10'SRanolaz OD Tablet 10'S,Angina,1,21,39,0
10.42.0.211-88.212.201.205-45137-443-6,Clinlup 1% Gel 10gm,Acne,Ranopill 500mg Tablet 10'S,Angina,3,14,29,0
172.217.12.174-10.42.0.151-443-50825-6,Clinmax A Gel 30gmClinmax Gel 20gm,Acne,Ranoplan 500mg Tablet 10'S,Angina,3,2,29,0
10.42.0.211-10.42.0.1-1945-53-17,Clinmiface A Gel 15gm,Acne,Ranozex 1gm Tablet 10'SRanozex Tablet 10'S,Angina,4,24,29,1
169.47.42.121-10.42.0.211-5222-55769-6,Clinopak 300Mg Tablet 10'sClinopak Gel 20gmClinopak 150Mg Tablet 10's,Acne,Ranx 1gm Tablet 10'SRanx 500mg Tablet 15'SRanx 500mg Tablet 10'S,Angina,9,14,1268,1
203.205.158.52-10.42.0.151-80-34622-6,Clinoxid 15% Gel 15gmClinoxid 1% Gel 15gmClinoxid 1/2.5 Cream 15gm,Acne,Razine 500mg Tablet 10'S,Angina,10,29,36,1
10.42.0.211-66.155.99.59-39496-443-6,Clinxa Gel 20gm,Acne,Razona 500mg Tablet 10'S,Angina,7,2,29,1
173.194.68.188-10.42.0.151-5228-36766-6,Clinxa A Gel 20gm,Acne,Recard 5mg Tablet 10'S,Angina,8,16,398,1
10.42.0.211-98.139.199.204-44602-443-6,Comedolytic Cream 20gm,Acne,Rolazin Tablet 10'S,Angina,8,11,29,0
10.42.0.211-10.42.0.1-53031-53-17,Cortina H Cream 15gm,Acne,S Amlosafe 1.25mg Tablet 10'S,Angina,10,2,32,1
172.217.12.131-10.42.0.151-443-45779-6,Cosmoderm Kit 1'S,Acne,S Numlo 2.5mg Tablet 15'SS Numlo 5mg Tablet 15'S,Angina,1,5,29,0
10.42.0.211-104.94.222.37-36114-80-6,Cospeel Shampoo 50ml,Acne,S Wellamo 2.5mg Tablet 10'SS Wellamo 5mg Tablet 10'S,Angina,3,1,213,0
203.205.158.62-10.42.0.151-80-37709-6,Crixan Gel 15gm,Acne,Samlokind 5mg Tablet 10'S,Angina,10,6,35,0
